token,pos,Abbreviation,dates
/,SYM,,[]
L,PROPN,,[]
(,PUNCT,,[]
11,NUM,,[]
-,SYM,,[]
71,NUM,,[]
),PUNCT,,[]
No,DET,,[]
ActionFile,NOUN,,[]
DHEAS,NOUN,,[]
4.4,NUM,,[]
 ,SPACE,,[]
umol,PROPN,,[]
/,SYM,,[]
L,PROPN,,[]
(,PUNCT,,[]
3.0,NUM,,[]
-,SYM,,[]
10,NUM,,[]
),PUNCT,,[]
|,NOUN,,[]
Calculated,VERB,,[]
Free,PROPN,,[]
Testosterone,PROPN,ANDRO,[]
977.4,NUM,,[]
pmol,NOUN,,[]
/,SYM,,[]
L,PROPN,,[]
(,PUNCT,,[]
255.0,NUM,,[]
-,SYM,,[]
725.0,NUM,,[]
),PUNCT,,[]
nen,NOUN,,[]
Make,VERB,,[]
Appoint,VERB,,[]
.,PUNCT,,[]
Further,ADJ,,[]
Tests,NOUN,,[]
Notes,NOUN,,[]
Required,VERB,,[]
Speak,VERB,,[]
with,ADP,,[]
Dr,PROPN,,[]
1,NUM,,[]
of,ADP,,[]
?,PUNCT,,[]
On,ADP,,[]
Correct,ADJ,,[]
Treatment,NOUN,,[]
LAV_RTE001_AV3_07/23,NOUN,,[]
hl,INTJ,,[]
laverty,PROPN,,[]
Pathology,PROPN,,[]
Report,PROPN,,[]
Resutts,PROPN,,[]
ORCPA,PROPN,,[]
mm,NOUN,,[]
ENQUIRIES,NOUN,,[]
Accredited,VERB,,[]
for,ADP,,[]
compliance,NOUN,,[]
win,NOUN,,[]
»,NOUN,,[]
WA,PROPN,,[]
pathology,NOUN,,[]
NPAAC,PROPN,,[]
Standards,PROPN,,[]
and,CCONJ,,[]
ISO,PROPN,,[]
15189,NUM,,[]
pon,NOUN,,[]
RE,PROPN,,[]
ans,PROPN,,[]
ei,VERB,,[]
removed,VERB,,[]
removed,VERB,,[]
removed,VERB,,[]
removed,VERB,,[]
Phone,NOUN,,[]
D.O.B,PROPN,,[]
XXXXXXXXXXX,PROPN,,[]
Mm,PROPN,,[]
removed,VERB,,[]
Reported,VERB,,[]
