token,pos,Abbreviation,dates
7.0,NUM,,[]
mmol,PROPN,,[]
/,SYM,,[]
L,PROPN,,[]
e@,PROPN,,[]
a,PRON,,[]
CREATININE,PROPN,,[]
(,PUNCT,,[]
mmol,PROPN,,[]
/,SYM,,[]
L,PROPN,,[]
),PUNCT,,[]
0.06,NUM,,[]
0.05,NUM,,[]
-,PUNCT,,[]
0.10,NUM,,[]
mmol,PROPN,,[]
/,SYM,,[]
L,PROPN,,[]
e@,PROPN,,[]
a,PRON,,[]
Creatinine,NOUN,CREAN,[]
62,NUM,,[]
45,NUM,,[]
-,SYM,,[]
90,NUM,,[]
umol,NOUN,,[]
/,SYM,,[]
L,PROPN,,[]
e@,PROPN,,[]
a,PRON,,[]
Estimated,VERB,,[]
GFR,PROPN,EGFR,[]
>,X,,[]
90,NUM,,[]
>,SYM,,[]
90,NUM,,[]
ml,NOUN,,[]
/,SYM,,[]
min/1,PROPN,,[]
_,NOUN,,[]
_,PUNCT,,[]
_,PUNCT,,[]
-,PUNCT,,[]
e,NOUN,,[]
*,PUNCT,,[]
),PUNCT,,[]
Result,VERB,,[]
outside,ADP,,[]
normal,ADJ,,[]
reference,NOUN,,[]
range,NOUN,,[]
H,PROPN,,[]
),PUNCT,,[]
Result,PROPN,,[]
is,AUX,,[]
above,ADP,,[]
upper,ADJ,,[]
limit,NOUN,,[]
of,ADP,,[]
reference,NOUN,,[]
rang,PROPN,,[]
(,PUNCT,,[]
L,PROPN,,[]
),PUNCT,,[]
Result,PROPN,,[]
is,AUX,,[]
below,ADP,,[]
lower,ADJ,,[]
limit,NOUN,,[]
of,ADP,,[]
reference,NOUN,,[]
range,NOUN,,[]
UEC,PROPN,,[]
Comment,NOUN,,[]
ELEVATED,PROPN,,[]
ANION,PROPN,,[]
GAP,PROPN,,[]
:,PUNCT,,[]
An,DET,,[]
elevated,ADJ,,[]
anion,NOUN,,[]
gap,NOUN,,[]
indicates,VERB,,[]
metabolic,NOUN,,[]
acidosis,NOUN,,[]
.,PUNCT,,[]
In,ADP,,[]
uncontrolled,ADJ,,[]
diabetes,NOUN,,[]
",",PUNCT,,[]
there,PRON,,[]
is,VERB,,[]
an,DET,,[]
increase,NOUN,,[]
in,ADP,,[]
ketoacids,NOUN,,[]
due,ADP,,[]
to,ADP,,[]
metabolism,NOUN,,[]
of,ADP,,[]
ketones,NOUN,,[]
.,PUNCT,,[]
In,ADP,,[]
these,DET,,[]
conditions,NOUN,,[]
",",PUNCT,,[]
bicarbonate,VERB,HCO3,[]
concentrations,NOUN,,[]
decrease,VERB,,[]
by,ADP,,[]
acting,VERB,,[]
as,ADP,,[]
a,DET,,[]
buffer,NOUN,,[]
against,ADP,,[]
the,DET,,[]
increased,VERB,,[]
presence,NOUN,,[]
of,ADP,,[]
acids,NOUN,,[]
(,PUNCT,,[]
as,ADP,,[]
a,DET,,[]
result,NOUN,,[]
of,ADP,,[]
the,DET,,[]
underlying,ADJ,,[]
condition,NOUN,,[]
),PUNCT,,[]
.,PUNCT,,[]
The,DET,,[]
bicarbonate,NOUN,HCO3,[]
is,AUX,,[]
consumed,VERB,,[]
resulting,VERB,,[]
in,ADP,,[]
a,PRON,,[]
high,ADJ,,[]
anion,NOUN,,[]
gap,NOUN,,[]
.,PUNCT,,[]
ESTIMATED,VERB,,[]
GFR,PROPN,EGFR,[]
COMMENT,PROPN,,[]
:,PUNCT,,[]
eGFR,X,EGFR,[]
(,PUNCT,,[]
mL,PROPN,,[]
/,SYM,,[]
min/1.73m2,PROPN,,[]
),PUNCT,,[]
is,AUX,,[]
calculated,VERB,,[]
by,ADP,,[]
the,DET,,[]
laboratory,NOUN,,[]
using,VERB,,[]
the,DET,,[]
CKD,PROPN,,[]
-,PUNCT,,[]
EPI,PROPN,,[]
formula,NOUN,,[]
eGFR,NOUN,EGFR,[]
>,X,,[]
90,NUM,,[]
mL,NUM,,[]
/,SYM,,[]
min/1.73,NOUN,,[]
sq.m,NOUN,,[]
—,PUNCT,,[]
-,PUNCT,,[]
Normal,ADJ,,[]
GFR,PROPN,EGFR,[]
LIVER,PROPN,,[]
FUNCTION,NOUN,,[]
TESTS,NOUN,,[]
BILIRUBIN,NOUN,,[]
(,PUNCT,,[]
TOTAL,PROPN,,[]
),PUNCT,,[]
13,NUM,,[]
0,NUM,,[]
-,SYM,,[]
20,NUM,,[]
umol,NOUN,,[]
/,SYM,,[]
L,PROPN,,[]
e,NOUN,,[]
|,NOUN,,[]
ALP,PROPN,,[]
97,NUM,,[]
30,NUM,,[]
-,SYM,,[]
110,NUM,,[]
units,NOUN,,[]
/,SYM,,[]
L,NOUN,,[]
@,ADP,,[]
a,PRON,,[]
GGT,PROPN,,[]
23,NUM,,[]
5,NUM,,[]
-,SYM,,[]
35,NUM,,[]
units,NOUN,,[]
/,SYM,,[]
L,NOUN,,[]
@,ADP,,[]
a,PRON,,[]
ALT,PROPN,,[]
33,NUM,,[]
10,NUM,,[]
-,SYM,,[]
35,NUM,,[]
units,NOUN,,[]
/,SYM,,[]
L,PROPN,,[]
a,PROPN,,[]
@,NOUN,,[]
a,PRON,,[]
AST,NOUN,,[]
25,NUM,,[]
10,NUM,,[]
-,SYM,,[]
35,NUM,,[]
units,NOUN,,[]
/,SYM,,[]
L,PROPN,,[]
a,DET,,[]
r,NOUN,,[]
a,NOUN,,[]
PROTEIN,NOUN,,[]
-,PUNCT,,[]
TOTAL,NOUN,,[]
69,NUM,,[]
60,NUM,,[]
-,SYM,,[]
80,NUM,,[]
g,NOUN,,[]
/,SYM,,[]
L,PROPN,,[]
a,PROPN,,[]
@,NOUN,,[]
a,PRON,,[]
ALBUMIN,PROPN,,[]
35,NUM,,[]
33,NUM,,[]
-,SYM,,[]
48,NUM,,[]
g,PROPN,,[]
/,SYM,,[]
L,PROPN,,[]
a,DET,,[]
e,NOUN,,[]
a,PRON,,[]
GLOBULIN,PROPN,,[]
33,NUM,,[]
26,NUM,,[]
-,SYM,,[]
39,NUM,,[]
g,NOUN,,[]
/,SYM,,[]
L,PROPN,,[]
a,PROPN,,[]
@,NOUN,,[]
a,PRON,,[]
Corrected,PROPN,,[]
Calcium,PROPN,,[]
Profile,PROPN,,[]
CALCIUM,PROPN,,[]
2.36,NUM,,[]
215,NUM,,[]
-,SYM,,[]
260,NUM,,[]
mmol,PROPN,,[]
/,SYM,,[]
L,PROPN,,[]
Jy,PROPN,,[]
e,VERB,,[]
a,PRON,,[]
Calcium,NOUN,,[]
Adjusted,VERB,,[]
2.46,NUM,,[]
210,NUM,,[]
-,SYM,,[]
260,NUM,,[]
mmol,PROPN,,[]
/,SYM,,[]
L,PROPN,,[]
e,NOUN,,[]
a,PRON,,[]
PHOSPHATE,PROPN,,[]
1.1,NUM,,[]
06,NUM,,[]
-,SYM,,[]
14,NUM,,[]
mmol,PROPN,,[]
/,SYM,,[]
L,PROPN,,[]
i,PRON,,[]
e,VERB,,[]
a,PRON,,[]
MAGNESIUM,PROPN,,[]
0.77,NUM,,[]
.,PUNCT,,[]
070,NUM,,[]
-,SYM,,[]
110,NUM,,[]
mm,NOUN,,[]
e,NOUN,,[]
a,PRON,,[]
LDH,PROPN,,[]
169,NUM,,[]
120,NUM,,[]
-,SYM,,[]
250,NUM,,[]
units,NOUN,,[]
/,SYM,,[]
L,NOUN,,[]
@,ADP,,[]
a,PRON,,[]
URATE,PROPN,,[]
0.330,NUM,,[]
015,NUM,,[]
-,SYM,,[]
040,NUM,,[]
mmol,PROPN,,[]
e,NOUN,,[]
a,PRON,,[]
IRON,VERB,,[]
STUDIES,NOUN,,[]
IRON,VERB,,[]
7.8,NUM,,[]
5.0,NUM,,[]
-,PUNCT,,[]
30.0,NUM,,[]
umo,NOUN,,[]
/,SYM,,[]
L,PROPN,,[]
e,NOUN,,[]
a,PRON,,[]
TRANSFERRIN,PROPN,,[]
28,NUM,,[]
18,NUM,,[]
-,SYM,,[]
35,NUM,,[]
g,NOUN,,[]
/,SYM,,[]
L,PROPN,,[]
a,DET,,[]
e,NOUN,,[]
a,PRON,,[]
Transferrin,PROPN,TFER,[]
Saturation,PROPN,,[]
77*L,PROPN,,[]
15,NUM,,[]
-,SYM,,[]
45,NUM,,[]
%,NOUN,,[]
o,NOUN,,[]
a,NOUN,,[]
@,NOUN,,[]
a,PRON,,[]
FERRITIN,PROPN,,[]
32,NUM,,[]
30,NUM,,[]
-,SYM,,[]
150,NUM,,[]
ug,NOUN,,[]
/,SYM,,[]
L,PROPN,,[]
sos,PROPN,,[]
e,NOUN,,[]
a,PRON,,[]
(,PUNCT,,[]
*,PROPN,,[]
),PUNCT,,[]
Result,VERB,,[]
outside,ADP,,[]
normal,ADJ,,[]
reference,NOUN,,[]
range,NOUN,,[]
(,PUNCT,,[]
H,PROPN,,[]
),PUNCT,,[]
Result,PROPN,,[]
is,AUX,,[]
above,ADP,,[]
upper,ADJ,,[]
limit,NOUN,,[]
of,ADP,,[]
reference,NOUN,,[]
rang,PROPN,,[]
(,PUNCT,,[]
L,PROPN,,[]
),PUNCT,,[]
Result,PROPN,,[]
is,AUX,,[]
below,ADP,,[]
lower,ADJ,,[]
limit,NOUN,,[]
of,ADP,,[]
reference,NOUN,,[]
range,NOUN,,[]
Iron,PROPN,Fe3+,[]
Studies,PROPN,,[]
Comment,NOUN,,[]
Certain,ADJ,,[]
medications,NOUN,,[]
may,AUX,,[]
affect,VERB,,[]
results,NOUN,,[]
.,PUNCT,,[]
Please,INTJ,,[]
correlate,VERB,,[]
clinically,ADV,,[]
.,PUNCT,,[]
For,ADP,,[]
assistance,NOUN,,[]
",",PUNCT,,[]
please,INTJ,,[]
refer,VERB,,[]
to,ADP,,[]
the,DET,,[]
Iron,PROPN,Fe3+,[]
Studies,PROPN,,[]
Interpretation,PROPN,,[]
Table,PROPN,,[]
below,ADV,,[]
:,PUNCT,,[]
|,NOUN,,[]
CONDITION,NOUN,,[]
/,SYM,,[]
SYMPTOM,PROPN,,[]
|,NOUN,,[]
IRON,PROPN,,[]
|,NOUN,,[]
TRANSFERRIN,PROPN,,[]
SATURATION,PROPN,,[]
|,NOUN,,[]
FERRITIN,PROPN,,[]
|,PROPN,,[]
|,NOUN,,[]
Inon,PROPN,,[]
Deficiency,PROPN,,[]
|,NOUN,,[]
Decreased,VERB,,[]
|,NOUN,,[]
Decreased,VERB,,[]
—,PUNCT,,[]
—,PUNCT,,[]
',PUNCT,,[]
||-:‘Decreased,VERB,,[]
=|,NOUN,,[]
|,NOUN,,[]
Iron,PROPN,Fe3+,[]
Deficiency,PROPN,,[]
and,CCONJ,,[]
|,PROPN,,[]
|,NOUN,,[]
Normal,PROPN,,[]
or,CCONJ,,[]
|,NOUN,,[]
.,PUNCT,,[]
"""",PUNCT,,[]
Normal,ADJ,,[]
"""",PUNCT,,[]
=|,NOUN,,[]
|,NOUN,,[]
Acute,PROPN,,[]
Phase,PROPN,,[]
Response,PROPN,,[]
|,NOUN,,[]
Decreased,VERB,,[]
|,NOUN,,[]
Decreased,VERB,,[]
|,NOUN,,[]
<,X,,[]
100,NUM,,[]
ug,PROPN,,[]
/,SYM,,[]
L,PROPN,,[]
|,NOUN,,[]
|,NOUN,,[]
Acute,PROPN,,[]
Phase,PROPN,,[]
Response,PROPN,,[]
|,NOUN,,[]
Decreased,VERB,,[]
|,NOUN,,[]
Decreased,PROPN,,[]
-—«'||:“*Increased,PROPN,,[]
=|,NOUN,,[]
|,NOUN,,[]
‘,PUNCT,,[]
Tron,PROPN,,[]
Overload,PROPN,,[]
—,PUNCT,,[]
«,PUNCT,,[]
||.:«Increased,VERB,,[]
|,NOUN,,[]
~,NOUN,,[]
—,PUNCT,,[]
‘,PUNCT,,[]
Increased,VERB,,[]
=,VERB,,[]
—,PUNCT,,[]
S—=|sIncreased,VERB,,[]
=|,NOUN,,[]
FERRITIN,ADJ,,[]
COMMENT,NOUN,,[]
:,PUNCT,,[]
Serum,PROPN,,[]
ferritin,NOUN,,[]
levels,NOUN,,[]
>,X,,[]
30,NUM,,[]
pg,PROPN,,[]
/,SYM,,[]
L,PROPN,,[]
demonstrates,VERB,,[]
healthy,ADJ,,[]
iron,NOUN,,[]
stores,NOUN,,[]
as,ADV,,[]
long,ADV,,[]
as,SCONJ,,[]
co,ADJ,,[]
-,ADJ,,[]
existing,VERB,,[]
inflammatory,ADJ,,[]
disease,NOUN,,[]
or,CCONJ,,[]
hepatocellular,ADJ,,[]
damage,NOUN,,[]
are,AUX,,[]
not,PART,,[]
present,ADJ,,[]
.,PUNCT,,[]
25,NUM,,[]
OH,NOUN,,[]
VITAMIN,NOUN,,[]
D,NOUN,,[]
77,NUM,,[]
.,PUNCT,,[]
50,NUM,,[]
-,SYM,,[]
200,NUM,,[]
nmol,NOUN,,[]
/,SYM,,[]
L,PROPN,,[]
i,PRON,,[]
e,VERB,,[]
a,PRON,,[]
Vitamins,PROPN,,[]
Comment,NOUN,,[]
VITAMIN,PROPN,,[]
D,NOUN,,[]
COMMENT,NOUN,,[]
:,PUNCT,,[]
Levels,NOUN,,[]
above,ADP,,[]
75,NUM,,[]
nmol,NOUN,,[]
/,SYM,,[]
L,PROPN,,[]
may,AUX,,[]
be,AUX,,[]
desirable,ADJ,,[]
in,ADP,,[]
people,NOUN,,[]
with,ADP,,[]
osteoporosis,NOUN,,[]
or,CCONJ,,[]
falls,NOUN,,[]
.,PUNCT,,[]
25,NUM,,[]
-,PUNCT,,[]
hydroxy,ADJ,,[]
Vitamin,NOUN,,[]
D,PROPN,,[]
represents,VERB,,[]
the,DET,,[]
body,NOUN,,[]
's,PART,,[]
stores,NOUN,,[]
/,SYM,,[]
reserves,NOUN,,[]
level,VERB,,[]
.,PUNCT,,[]
Vitamin,PROPN,,[]
D,PROPN,,[]
Deficiency,PROPN,,[]
Interpretation,PROPN,,[]
:,PUNCT,,[]
Mild,ADJ,,[]
:,PUNCT,,[]
30,NUM,,[]
-,SYM,,[]
49,NUM,,[]
nmol,PROPN,,[]
/,SYM,,[]
l,PROPN,,[]
Moderate,ADJ,,[]
:,PUNCT,,[]
12.5,NUM,,[]
-,SYM,,[]
29,NUM,,[]
nmol/1,PROPN,,[]
Severe,ADJ,,[]
:,PUNCT,,[]
<,X,,[]
12.5,NUM,,[]
nmol,PROPN,,[]
/,SYM,,[]
l,PROPN,,[]
(,PUNCT,,[]
“,PUNCT,,[]
),PUNCT,,[]
Result,VERB,,[]
outside,ADP,,[]
normal,ADJ,,[]
reference,NOUN,,[]
range,NOUN,,[]
(,PUNCT,,[]
H,PROPN,,[]
),PUNCT,,[]
Result,PROPN,,[]
is,AUX,,[]
above,ADP,,[]
upper,ADJ,,[]
limit,NOUN,,[]
of,ADP,,[]
reference,NOUN,,[]
rang,PROPN,,[]
(,PUNCT,,[]
L,PROPN,,[]
),PUNCT,,[]
Result,PROPN,,[]
is,AUX,,[]
below,ADP,,[]
lower,ADJ,,[]
limit,NOUN,,[]
of,ADP,,[]
reference,NOUN,,[]
range,NOUN,,[]
LIPIDS,PROPN,,[]
CHOLESTEROL,PROPN,,[]
5.0,NUM,,[]
0.0,NUM,,[]
-,SYM,,[]
5.5,NUM,,[]
mmol,PROPN,,[]
/,SYM,,[]
L,PROPN,,[]
@,ADP,,[]
TRIGLYCERIDES,PROPN,,[]
2.8*H,NUM,,[]
0.0-,NUM,,[]
2.0,NUM,,[]
mmol,PROPN,,[]
/,SYM,,[]
L,PROPN,,[]
LIPID,PROPN,,[]
STUDIES,NOUN,,[]
HDL(Protective,ADJ,,[]
),PUNCT,,[]
0.8*L,NUM,,[]
1.2,NUM,,[]
-,SYM,,[]
2.0,NUM,,[]
mmol,NOUN,,[]
/,SYM,,[]
L,PROPN,,[]
He,PRON,,[]
Non,PROPN,,[]
-,PROPN,,[]
HDL,PROPN,,[]
Cholesterol,PROPN,,[]
4.23*H,PROPN,,[]
<,X,,[]
4.0,NUM,,[]
mmol,PROPN,,[]
/,SYM,,[]
L,PROPN,,[]
ry,ADP,,[]
LDL(Atherogenic,ADJ,,[]
),PUNCT,,[]
3.0,NUM,,[]
0.0,NUM,,[]
-,SYM,,[]
3.4,NUM,,[]
mmol,PROPN,,[]
/,SYM,,[]
L,PROPN,,[]
e,NOUN,,[]
Cholesterol,PROPN,,[]
/,SYM,,[]
HDL,PROPN,,[]
Ratio,PROPN,,[]
6.6,NUM,,[]
LDL,PROPN,,[]
/,SYM,,[]
HDL,PROPN,,[]
RATIO,NOUN,,[]
(,PUNCT,,[]
Risk,PROPN,,[]
Factor,PROPN,,[]
),PUNCT,,[]
3.9*H,NUM,,[]
0.0,NUM,,[]
-,SYM,,[]
3.2,NUM,,[]
Trig,PROPN,,[]
/,SYM,,[]
HDL,PROPN,,[]
Ratio,PROPN,,[]
3.7*H,NUM,,[]
0.5,NUM,,[]
-,SYM,,[]
1.7,NUM,,[]
RATIO,NOUN,,[]
a,PRON,,[]
(,PUNCT,,[]
*,PROPN,,[]
),PUNCT,,[]
Result,VERB,,[]
outside,ADP,,[]
normal,ADJ,,[]
reference,NOUN,,[]
range,NOUN,,[]
(,PUNCT,,[]
H,PROPN,,[]
),PUNCT,,[]
Result,PROPN,,[]
is,AUX,,[]
above,ADP,,[]
upper,ADJ,,[]
limit,NOUN,,[]
of,ADP,,[]
reference,NOUN,,[]
rang,PROPN,,[]
(,PUNCT,,[]
L,PROPN,,[]
),PUNCT,,[]
Result,PROPN,,[]
is,AUX,,[]
below,ADP,,[]
lower,ADJ,,[]
limit,NOUN,,[]
of,ADP,,[]
reference,NOUN,,[]
range,NOUN,,[]
Lipid,PROPN,,[]
Profile,PROPN,,[]
Comment,NOUN,,[]
Target,PROPN,,[]
Levels,PROPN,,[]
for,ADP,,[]
the,DET,,[]
general,ADJ,,[]
population,NOUN,,[]
and,CCONJ,,[]
the,DET,,[]
National,PROPN,,[]
Vascular,PROPN,,[]
Disease,PROPN,,[]
Prevention,PROPN,,[]
Alliance,PROPN,,[]
(,PUNCT,,[]
NVDPA,PROPN,,[]
),PUNCT,,[]
treatment,NOUN,,[]
target,NOUN,,[]
levels,NOUN,,[]
for,ADP,,[]
high,ADJ,,[]
-,PUNCT,,[]
risk,NOUN,,[]
people,NOUN,,[]
(,PUNCT,,[]
known,VERB,,[]
coronary,ADJ,,[]
heart,NOUN,,[]
and,CCONJ,,[]
other,ADJ,,[]
arterial,ADJ,,[]
diseases,NOUN,,[]
",",PUNCT,,[]
diabetes,NOUN,,[]
",",PUNCT,,[]
chronic,ADJ,,[]
renal,ADJ,,[]
failure,NOUN,,[]
",",PUNCT,,[]
Aboriginal,PROPN,,[]
and,CCONJ,,[]
Torres,PROPN,,[]
Strait,PROPN,,[]
Islander,NOUN,,[]
peoples,NOUN,,[]
and,CCONJ,,[]
familial,ADJ,,[]
hyperlipidaemic,ADJ,,[]
conditions,NOUN,,[]
),PUNCT,,[]
are,AUX,,[]
:,PUNCT,,[]
Tot,PROPN,,[]
.,PUNCT,,[]
Cholesterol,PROPN,,[]
LDL,PROPN,,[]
-,PUNCT,,[]
Cholesterol,PROPN,,[]
HDL,PROPN,,[]
-,PUNCT,,[]
Cholesterol,PROPN,,[]
General,ADJ,,[]
population,NOUN,,[]
:,PUNCT,,[]
<,X,,[]
5.5,NUM,,[]
mmol,PROPN,,[]
/,SYM,,[]
L,PROPN,,[]
<,X,,[]
2.0,NUM,,[]
mmol,PROPN,,[]
/,SYM,,[]
L,PROPN,,[]
M,PROPN,,[]
:,PUNCT,,[]
>,X,,[]
=,NOUN,,[]
1.0,NUM,,[]
",",PUNCT,,[]
F,PROPN,,[]
:,PUNCT,,[]
>,X,,[]
=,X,,[]
1.2,NUM,,[]
mmol,PROPN,,[]
/,SYM,,[]
L,PROPN,,[]
At,ADP,,[]
risk,NOUN,,[]
individuals,NOUN,,[]
:,PUNCT,,[]
<,X,,[]
4.0,NUM,,[]
mmol,PROPN,,[]
/,SYM,,[]
L,PROPN,,[]
<,X,,[]
1.8,NUM,,[]
mmol,PROPN,,[]
/,SYM,,[]
L,PROPN,,[]
Fasting,PROPN,,[]
Triglycerides,NOUN,TRIGL,[]
:,PUNCT,,[]
<,X,,[]
2.0,NUM,,[]
mmol,PROPN,,[]
/,SYM,,[]
L,PROPN,,[]
Non,PROPN,,[]
-,PROPN,,[]
HDL,PROPN,,[]
Cholesterol,PROPN,,[]
:,PUNCT,,[]
<,X,,[]
2.5,NUM,,[]
mmol,PROPN,,[]
/,SYM,,[]
L,PROPN,,[]
National,ADJ,,[]
guidelines,NOUN,,[]
generally,ADV,,[]
specify,VERB,,[]
specific,ADJ,,[]
targets,NOUN,,[]
",",PUNCT,,[]
refer,VERB,,[]
to,ADP,,[]
www.cvdcheck.org.au,PROPN,,[]
ELEVATED,ADJ,,[]
TRIGLYCERIDES,PROPN,,[]
:,PUNCT,,[]
Increased,VERB,,[]
levels,NOUN,,[]
are,AUX,,[]
seen,VERB,,[]
in,ADP,,[]
primary,ADJ,,[]
hypertriglyceridaemic,NOUN,,[]
states,NOUN,,[]
",",PUNCT,,[]
and,CCONJ,,[]
secondary,ADJ,,[]
to,PART,,[]
Nephrotic,ADJ,,[]
syndrome,NOUN,,[]
",",PUNCT,,[]
Hypothyroidism,PROPN,,[]
",",PUNCT,,[]
Pancreatitis,PROPN,,[]
",",PUNCT,,[]
Diabetes,PROPN,,[]
mellitus,ADJ,,[]
",",PUNCT,,[]
Alcoholism,NOUN,,[]
",",PUNCT,,[]
oral,ADJ,,[]
contraceptive,ADJ,,[]
use,NOUN,,[]
or,CCONJ,,[]
corticosteroid,ADJ,,[]
medication,NOUN,,[]
.,PUNCT,,[]
LOW,PROPN,,[]
HDL,PROPN,,[]
-,PUNCT,,[]
CHOLESTEROL,PROPN,,[]
:,PUNCT,,[]
Low,ADJ,,[]
levels,NOUN,,[]
of,ADP,,[]
HDL,PROPN,,[]
cholesterol,NOUN,,[]
and,CCONJ,,[]
high,ADJ,,[]
levels,NOUN,,[]
of,ADP,,[]
LDL,PROPN,,[]
cholesterol,NOUN,,[]
are,AUX,,[]
associated,VERB,,[]
with,ADP,,[]
an,PRON,,[]
increased,VERB,,[]
risk,NOUN,,[]
of,ADP,,[]
atherosclerotic,ADJ,,[]
vascular,ADJ,,[]
disease,NOUN,,[]
