token,pos,Abbreviation,dates
:,PUNCT,,[]
13054,NUM,,[]
1,NUM,,[]
removed,VERB,,[]
\,PROPN,,[]
removed,VERB,,[]
2022,NUM,,[]
Ph,PROPN,,[]
:,PUNCT,,[]
 ,SPACE,,[]
Sex,NOUN,,[]
:,PUNCT,,[]
Female,NOUN,,[]
Clinical,ADJ,,[]
Notes,NOUN,,[]
:,PUNCT,,[]
SEROLOGY,PROPN,,[]
t,PROPN,,[]
CALPROTECTIN,PROPN,,[]
SPECIMEN,PROPN,,[]
:,PUNCT,,[]
FAECES,NOUN,,[]
",",PUNCT,,[]
Calprotectin,NOUN,,[]
49,NUM,,[]
ug,ADP,,[]
/,SYM,,[]
g,PROPN,,[]
(,PUNCT,,[]
<,X,,[]
50,NUM,,[]
),PUNCT,,[]
Interpretative,ADJ,,[]
Guide,PROPN,,[]
:,PUNCT,,[]
Normal,ADJ,,[]
:,PUNCT,,[]
<,X,,[]
50,NUM,,[]
ug,NOUN,,[]
/,SYM,,[]
g,NOUN,,[]
7,NUM,,[]
Mild,ADJ,,[]
inflammation,NOUN,,[]
:,PUNCT,,[]
51,NUM,,[]
-,SYM,,[]
200,NUM,,[]
ug,NOUN,,[]
/,SYM,,[]
g,NOUN,,[]
Active,ADJ,,[]
inflammation,NOUN,,[]
:,PUNCT,,[]
>,X,,[]
200,NUM,,[]
ug,ADP,,[]
/,SYM,,[]
g,NOUN,,[]
This,DET,,[]
test,NOUN,,[]
is,AUX,,[]
performed,VERB,,[]
using,VERB,,[]
the,DET,,[]
DiaSorin,PROPN,,[]
Liaison,PROPN,,[]
XL,PROPN,,[]
Calprotectin,PROPN,,[]
assay,VERB,,[]
.,PUNCT,,[]
IMMUNOLOGY,PROPN,,[]
SPECIMEN,PROPN,,[]
:,PUNCT,,[]
SERUM,NOUN,,[]
ds,PROPN,,[]
-,PUNCT,,[]
DNA,PROPN,,[]
ANTIBODIES,NOUN,,[]
(,PUNCT,,[]
ELiA,PROPN,,[]
assay,PROPN,,[]
),PUNCT,,[]
<,X,,[]
10,NUM,,[]
IU,PROPN,,[]
/,SYM,,[]
mL,PROPN,,[]
(,PUNCT,,[]
<,X,,[]
10,NUM,,[]
),PUNCT,,[]
(,PUNCT,,[]
Equivocal,ADJ,,[]
:,PUNCT,,[]
10,NUM,,[]
-,SYM,,[]
15,NUM,,[]
),PUNCT,,[]
As,ADP,As,[]
of,ADP,,[]
