token,pos,Abbreviation,dates
Hbalc,NOUN,,[]
(,PUNCT,,[]
Glycosylated,PROPN,,[]
Hemoglobin,PROPN,,[]
),PUNCT,,[]
|,NOUN,,[]
10.50,NUM,,[]
%,NOUN,,[]
4.2,NUM,,[]
-,SYM,,[]
5.7,NUM,,[]
Method,PROPN,,[]
:,PUNCT,,[]
HPLC,PROPN,,[]
Average,ADJ,,[]
Estimated,ADJ,,[]
Glucose,PROPN,,[]
-,PUNCT,,[]
plasma,NOUN,,[]
254.65,NUM,,[]
mg,PROPN,,[]
/,SYM,,[]
dt,PROPN,,[]
Method,PROPN,,[]
:,PUNCT,,[]
Calculated,VERB,,[]
INTERPRETATION,NOUN,,[]
:,PUNCT,,[]
AS,SCONJ,,[]
PER,PROPN,,[]
AMERICAN,PROPN,,[]
DIABETES,NOUN,,[]
ASSOCIATION,PROPN,,[]
(,PUNCT,,[]
ADA,PROPN,,[]
):,PUNCT,,[]
+,PUNCT,,[]
REFERENCE,PROPN,,[]
GROUP,PROPN,,[]
GLYCOSYLATED,PROPN,,[]
HEMOGLOBIN,PROPN,,[]
(,PUNCT,,[]
HBA‘Cc,NOUN,,[]
),PUNCT,,[]
in,ADP,,[]
%,INTJ,,[]
Non,VERB,,[]
diabetic,ADJ,,[]
<,X,,[]
5.7,NUM,,[]
At,ADP,,[]
Risk,NOUN,,[]
(,PUNCT,,[]
Prediabetes,PROPN,,[]
),PUNCT,,[]
5.7,NUM,,[]
-6.4,NOUN,,[]
Diagnosing,VERB,,[]
Diabetes,NOUN,,[]
>,AUX,,[]
=,X,,[]
6.5,NUM,,[]
Age,NOUN,,[]
>,X,,[]
19,NUM,,[]
Years,NOUN,,[]
Goals,NOUN,,[]
of,ADP,,[]
Therapy,PROPN,,[]
:,PUNCT,,[]
<,X,,[]
7.0,NUM,,[]
Actions,NOUN,,[]
Suggested,VERB,,[]
:,PUNCT,,[]
>,X,,[]
8.0,NUM,,[]
Therapeutic,ADJ,,[]
goals,NOUN,,[]
for,ADP,,[]
glycemic,ADJ,,[]
control,NOUN,,[]
Age,PROPN,,[]
<,X,,[]
19,NUM,,[]
Years,NOUN,,[]
|,NOUN,,[]
Goal,PROPN,,[]
of,ADP,,[]
thera,NOUN,,[]
REMARKS,NOUN,,[]
1,X,,[]
.,PUNCT,,[]
HbA1c,NOUN,HBA1C,[]
is,AUX,,[]
used,VERB,,[]
for,ADP,,[]
monitoring,VERB,,[]
diabetic,ADJ,,[]
control,NOUN,,[]
.,PUNCT,,[]
It,PRON,,[]
reflects,VERB,,[]
the,DET,,[]
mean,ADJ,,[]
plasma,NOUN,,[]
glucose,NOUN,GLUC,[]
over,ADP,,[]
three,NUM,,[]
months,NOUN,,[]
2,X,,[]
.,X,,[]
HbAic,ADJ,,[]
may,AUX,,[]
be,AUX,,[]
falsely,ADV,,[]
low,ADJ,,[]
in,ADP,,[]
diabetics,NOUN,,[]
with,ADP,,[]
hemolytic,ADJ,,[]
disease,NOUN,,[]
.,PUNCT,,[]
In,ADP,,[]
these,DET,,[]
individuals,NOUN,,[]
a,DET,,[]
plasma,NOUN,,[]
fructosamine,NOUN,FRUCT,[]
level,NOUN,,[]
may,AUX,,[]
be,AUX,,[]
used,VERB,,[]
which,PRON,,[]
evaluates,VERB,,[]
diabetes,VERB,,[]
over,ADP,,[]
15,NUM,,[]
days,NOUN,,[]
.,PUNCT,,[]
3,X,,[]
.,PUNCT,,[]
Inappropriately,ADV,,[]
low,ADJ,,[]
HbA1c,ADJ,HBA1C,[]
values,NOUN,,[]
may,AUX,,[]
be,AUX,,[]
reported,VERB,,[]
due,ADP,,[]
to,ADP,,[]
hemolysis,NOUN,,[]
",",PUNCT,,[]
recent,ADJ,,[]
blood,NOUN,,[]
transfusion,NOUN,,[]
",",PUNCT,,[]
acute,ADJ,,[]
blood,NOUN,,[]
loss,NOUN,,[]
",",PUNCT,,[]
hypertriglyceridemia,NOUN,,[]
",",PUNCT,,[]
chronic,ADJ,,[]
liver,NOUN,,[]
disease,NOUN,,[]
.,PUNCT,,[]
Drugs,NOUN,,[]
like,ADP,,[]
dapsone,NOUN,,[]
",",PUNCT,,[]
ribavinn,PROPN,,[]
",",PUNCT,,[]
antiretroviral,ADJ,,[]
drugs,NOUN,,[]
",",PUNCT,,[]
trimethoprim,PROPN,,[]
",",PUNCT,,[]
may,AUX,,[]
also,ADV,,[]
cause,VERB,,[]
interference,NOUN,,[]
with,ADP,,[]
estimation,NOUN,,[]
of,ADP,,[]
HbA1c,PROPN,HBA1C,[]
",",PUNCT,,[]
causing,VERB,,[]
falsely,ADV,,[]
low,ADJ,,[]
values,NOUN,,[]
.,PUNCT,,[]
4,X,,[]
.,X,,[]
HbA1c,NOUN,HBA1C,[]
may,AUX,,[]
be,AUX,,[]
increased,VERB,,[]
in,ADP,,[]
patients,NOUN,,[]
with,ADP,,[]
polycythemia,NOUN,,[]
or,CCONJ,,[]
post,ADJ,,[]
-,ADJ,,[]
splenectomy,ADJ,,[]
.,PUNCT,,[]
5,X,,[]
.,PUNCT,,[]
Inappropriately,ADV,,[]
higher,ADJ,,[]
values,NOUN,,[]
of,ADP,,[]
HbA1c,PROPN,HBA1C,[]
may,AUX,,[]
be,AUX,,[]
caused,VERB,,[]
due,ADP,,[]
to,ADP,,[]
iron,NOUN,,[]
deficiency,NOUN,,[]
",",PUNCT,,[]
vitamin,NOUN,,[]
B12,PROPN,vitB12,[]
deficiency,NOUN,,[]
",",PUNCT,,[]
alcohol,NOUN,,[]
intake,NOUN,,[]
",",PUNCT,,[]
uremia,NOUN,,[]
",",PUNCT,,[]
hyperbilirubinemia,NOUN,,[]
and,CCONJ,,[]
large,ADJ,,[]
doses,NOUN,,[]
of,ADP,,[]
aspirin,NOUN,,[]
.,PUNCT,,[]
-,PUNCT,,[]
6,X,,[]
.,PUNCT,,[]
Trends,NOUN,,[]
in,ADP,,[]
HbA1c,PROPN,HBA1C,[]
are,AUX,,[]
a,DET,,[]
better,ADJ,,[]
indicator,NOUN,,[]
of,ADP,,[]
diabetic,ADJ,,[]
control,NOUN,,[]
than,ADP,,[]
a,DET,,[]
solitary,ADJ,,[]
test,NOUN,,[]
.,PUNCT,,[]
7,X,,[]
.,X,,[]
Any,DET,,[]
sample,NOUN,,[]
with,ADP,,[]
>,X,,[]
15,NUM,,[]
%,NOUN,,[]
HbA1c,NOUN,HBA1C,[]
should,AUX,,[]
be,AUX,,[]
suspected,VERB,,[]
of,ADP,,[]
having,VERB,,[]
a,DET,,[]
hemoglobin,NOUN,HGB,[]
vanant,PROPN,,[]
",",PUNCT,,[]
especially,ADV,,[]
in,ADP,,[]
a,DET,,[]
non,ADJ,,[]
-,ADJ,,[]
diabetic,ADJ,,[]
patient,NOUN,,[]
.,PUNCT,,[]
Similarly,ADV,,[]
",",PUNCT,,[]
below,ADP,,[]
4,NUM,,[]
%,NOUN,,[]
should,AUX,,[]
prompt,VERB,,[]
additional,ADJ,,[]
studies,NOUN,,[]
to,PART,,[]
determine,VERB,,[]
the,DET,,[]
possible,ADJ,,[]
presence,NOUN,,[]
of,ADP,,[]
variant,ADJ,,[]
hemoglobin,NOUN,HGB,[]
.,PUNCT,,[]
8,X,,[]
.,PUNCT,,[]
HbA,PROPN,,[]
1c,NUM,,[]
target,NOUN,,[]
in,ADP,,[]
pregnancy,NOUN,,[]
is,AUX,,[]
to,PART,,[]
attain,VERB,,[]
level,NOUN,,[]
<,NUM,,[]
6,NUM,,[]
%,NOUN,,[]
.,PUNCT,,[]
9,X,,[]
.,PUNCT,,[]
HbA‘1c,NOUN,,[]
target,NOUN,,[]
in,ADP,,[]
paediatric,ADJ,,[]
age,NOUN,,[]
group,NOUN,,[]
is,AUX,,[]
to,PART,,[]
attain,VERB,,[]
level,NOUN,,[]
<,X,,[]
7.5,NUM,,[]
%,NOUN,,[]
.,PUNCT,,[]
Method,PROPN,,[]
:,PUNCT,,[]
lon,NOUN,,[]
-,PUNCT,,[]
exchange,NOUN,,[]
high,ADJ,,[]
-,PUNCT,,[]
performance,NOUN,,[]
liquid,NOUN,,[]
chromatography,NOUN,,[]
(,PUNCT,,[]
HPLC,PROPN,,[]
),PUNCT,,[]
.,PUNCT,,[]
Reference,NOUN,,[]
:,PUNCT,,[]
American,PROPN,,[]
Diabetes,PROPN,,[]
Associations,PROPN,,[]
.,PUNCT,,[]
Standards,NOUN,,[]
of,ADP,,[]
Medical,PROPN,,[]
Care,PROPN,,[]
in,ADP,,[]
Diabetes,PROPN,,[]
2015,NUM,,[]
